Employee's first Name,Employee's initial,Employee's last Name,Employee's address,Employee's zip code,Employee's Social security number,Employer's identification number,Employer's name,Employer's address,Employer's zip code,Employer's state,Employer's state ID number,"Employer's state wages, tips",Employer's state income tax,"Employer's local wages, tips",Employer's local income tax,Employer's Locality name,"Wages, tips, other compensation",Federal income tax withheld,Social security wages,Social security tax withheld,Medicare wages and tips,Medicare tax withheld,Social security tips,Allocated tips,Advance EIC payment,Dependent care benefits,Nonqualified plans,Statutory employee,Retirement plan,Third-payer sick pay,year,file
April,,Hensley,"31403 David Circles Suite 863, West Erinfort, WY",45881-3334,077-49-4905,37-2766773,Richardson-Brown PLC,"2936 Howard Radial, West Raymond, NV",44735-6958,"['DC', 'CO']","['786-41-049', '239-95-269']","['28287.19', '29750.61']","['1608.75', '2279.5']","['44590.58', '57464.5']","['6842.08', '9061.93']","['Rocha Wells', 'Rodriguez Trail']",55151.93,16606.17,67588.01,5170.48,50518.06,1465.02,67588.01,50518.06,,238,210,,x,x,2010,1000
Taylor,,Cox,"613 Roger Crest Apt. 802, Leeton, IA",26442-8249,779-70-5706,39-3114215,Carlson Group Group,"56319 Underwood Views, Lake Debramouth, NE",33667-9751,"['MA', 'MN']","['678-77-709', '940-46-434']","['66553.66', '66754.52']","['8190.59', '6506.63']","['131974.67', '104567.25']","['13955.55', '19328.85']","['Melissa Pines', 'Duane Flat']",126204.09,40043.57,123655.86,9459.67,152406.79,4419.8,123655.86,152406.79,,219,233,,x,,2010,1001
Laura,,Russo,"2199 Little Falls, Snyderton, TX",28420-7250,675-52-6498,73-1267148,Marshall PLC PLC,"6822 Henry Neck Suite 843, Port Angelastad, IA",13833-3941,"['MI', 'MT']","['352-10-416', '408-57-949']","['42876.97', '40122.56']","['5032.62', '5354.06']","['82626.27', '85363.24']","['8993.53', '16517.4']","['Elizabeth Garden', 'Morgan Bypass']",86286.94,23792.16,90335.6,6910.67,67631.41,1961.31,90335.6,67631.41,,267,259,,x,,2010,1002
Mitchell,,Allen,"6503 John Stream, New Meredithstad, MI",19628,691-53-3104,25-0924379,Mcdonald-Harris Inc,"560 Munoz Mills Suite 766, South Jamesstad, MN",44881-3192,"['PA', 'WI']","['299-54-060', '690-64-020']","['108724.18', '109979.48']","['9955.95', '8178.06']","['249135.85', '287877.95']","['31747.52', '42455.87']","['Francis Motorway', 'Mueller Forks']",238401.8,32110.03,295439.81,22601.15,299378.97,8681.99,295439.81,299378.97,,260,162,,x,,2010,1003
James,,Williams,"95060 Crystal Burg Apt. 070, Davisburgh, AR",30937-0798,037-07-1416,71-6374971,Frederick-Hendricks Group,"01670 Adams Islands, Angelatown, AZ",21706-7217,"['NE', 'PA']","['112-76-689', '349-50-216']","['124132.88', '129509.36']","['6171.87', '8944.76']","['186737.87', '316985.0']","['28603.11', '38840.21']","['William Spring', 'Ramirez Passage']",249501.21,26149.11,254242.78,19449.57,224061.76,6497.79,254242.78,224061.76,,150,164,x,,,2010,1004
Trevor,,Duncan,"41435 Hughes Drive, New Teresaberg, KS",99528-9775,768-05-9800,83-1015714,White PLC Inc,"21769 Walker Landing, Bakerfurt, NJ",06199-9819,"['AL', 'IA']","['703-50-377', '882-63-902']","['76475.69', '89324.57']","['4802.83', '4795.84']","['124601.64', '137013.88']","['29884.95', '24146.13']","['John Manors', 'Gary Loop']",168250.2,53860.77,159372.62,12192.01,206499.26,5988.48,159372.62,206499.26,,164,149,,,,2010,1005
Mary,,Dickerson,"95842 Freeman Coves Apt. 609, Robertburgh, MA",63545-3314,036-91-4705,22-3437795,Morgan Ltd and Sons,"147 Taylor Wall, New Joshua, NE",07877-3716,"['DC', 'AK']","['966-19-196', '251-39-797']","['110223.67', '113743.74']","['11688.57', '13074.2']","['262336.93', '216960.9']","['44190.0', '25811.99']","['Robert Parkway', 'Jason Stream']",237575.44,85837.08,278526.87,21307.31,182944.39,5305.39,278526.87,182944.39,,171,123,,,,2010,1006
Seth,,Bailey,"341 Charles Mountains, Morganberg, CO",47155-8501,760-19-8138,21-7657558,Brown LLC Group,"489 Liu Villages, South Thomasborough, NV",46057-871,"['VT', 'NM']","['255-66-026', '497-84-843']","['88732.15', '86586.78']","['7477.8', '6301.73']","['151147.54', '200100.36']","['26813.43', '18330.78']","['Amy Stravenue', 'Hunter Mountain']",162805.19,57402.86,184235.06,14093.98,121322.24,3518.34,184235.06,121322.24,,119,148,,x,,2010,1007
Robert,,Benson,"84813 Eric Way Apt. 116, North Amberborough, AR",9425,280-96-5377,33-0179104,"Flores, Hubbard and Franklin Inc","638 Jennifer Springs, Adamsmouth, OR",71848-7881,"['TX', 'MN']","['901-77-594', '661-57-909']","['36999.45', '37030.53']","['2903.07', '2672.65']","['77272.53', '63242.6']","['11815.19', '7283.25']","['Melissa Shoal', 'Briana Corner']",71292.15,22405.22,59800.89,4574.77,65211.43,1891.13,59800.89,65211.43,,287,300,,,x,2010,1008
Michelle,,Brown,"730 Huber Island Suite 344, Collinshaven, IN",29316-8972,133-45-6693,65-8736227,"Cooper, Spence and Curry Ltd","871 Tonya Causeway, New Davidborough, AL",63538-3453,"['OR', 'RI']","['678-39-524', '229-34-366']","['89521.54', '80550.75']","['4885.71', '3668.12']","['184434.59', '117149.08']","['29698.57', '32563.47']","['Nguyen Square', 'Bobby Islands']",165296.64,49693.12,198300.45,15169.98,164615.68,4773.85,198300.45,164615.68,,245,148,,x,,2010,1009
Bobby,,Torres,"9622 Jessica Estates Apt. 532, Nathantown, IA",78428-1174,592-52-8367,36-2682044,Schaefer Group Ltd,"18648 Costa Valleys Suite 011, Rosestad, MI",78136-7800,"['SD', 'DC']","['833-54-622', '418-87-663']","['25478.12', '24056.75']","['1926.38', '1480.33']","['42736.07', '46708.65']","['8269.61', '7963.45']","['Sandra Center', 'Frank Hollow']",52229.12,7055.12,65099.68,4980.13,62139.78,1802.05,65099.68,62139.78,,254,195,x,,,2010,1010
