level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,bottom,right,label
1,1,0,0,0,0,0,0,1236,1658,-1,,1658,1236,0.0
2,1,1,0,0,0,596,1,1,50,-1,,51,597,0.0
3,1,1,1,0,0,596,1,1,50,-1,,51,597,0.0
4,1,1,1,1,0,596,1,1,50,-1,,51,597,0.0
5,1,1,1,1,1,596,1,1,50,95, ,51,597,0.0
2,1,2,0,0,0,1,50,658,3,-1,,53,659,0.0
3,1,2,1,0,0,1,50,658,3,-1,,53,659,0.0
4,1,2,1,1,0,1,50,658,3,-1,,53,659,0.0
5,1,2,1,1,1,1,50,658,3,95, ,53,659,0.0
2,1,3,0,0,0,12,4,648,91,-1,,95,660,0.0
3,1,3,1,0,0,12,4,648,91,-1,,95,660,0.0
4,1,3,1,1,0,55,4,399,16,-1,,20,454,0.0
5,1,3,1,1,1,55,5,103,15,90,REISSUED,20,158,0.0
5,1,3,1,1,2,216,7,6,7,27,{a,14,222,0.0
5,1,3,1,1,3,236,4,71,13,68,Employee's,17,307,0.0
5,1,3,1,1,4,311,4,36,10,96,social,14,347,0.0
5,1,3,1,1,5,352,4,48,13,95,security,17,400,0.0
5,1,3,1,1,6,406,4,48,10,95,number,14,454,0.0
4,1,3,1,2,0,44,28,616,29,-1,,57,660,0.0
5,1,3,1,2,1,44,28,126,29,96,STATEMENT,57,170,0.0
5,1,3,1,2,2,312,28,150,15,89,077-49-4905,43,462,0.0
5,1,3,1,2,3,612,29,28,10,86,OMB,39,640,0.0
5,1,3,1,2,4,646,29,14,10,96,No.,39,660,0.0
4,1,3,1,3,0,12,56,194,13,-1,,69,206,0.0
5,1,3,1,3,1,12,56,7,10,81,b,66,19,0.0
5,1,3,1,3,2,29,56,54,13,48,Employer,69,83,0.0
5,1,3,1,3,3,88,56,70,10,96,identification,66,158,0.0
5,1,3,1,3,4,164,56,42,10,96,number,66,206,0.0
4,1,3,1,4,0,66,80,137,15,-1,,95,203,0.0
