,queries,model_answers,actual_answers
0,What is the Employee's Address?,717-24-469,"285 Edwards Wall, East Margaret, KY"
1,What is the Employee's first name and last name?,derrick graham,Derrick Graham
2,"What are the wages, tips and compensation?",48676.83,48676.83
3,What is the Employee's Address?,statement,"722 Pearson Pine Apt. 833, Lake Alan, NJ"
4,What is the Employee's first name and last name?,julie miller,Julie Miller
5,"What are the wages, tips and compensation?",72019.45,72019.45
6,What is the Employee's Address?,statement,"71278 Miller Roads Apt. 323, South Rogershire, VT"
7,What is the Employee's first name and last name?,elizabeth russo,Elizabeth Russo
8,"What are the wages, tips and compensation?",71230.77,71230.77
9,What is the Employee's Address?,statement,"5665 Joyce Burgs, Joshuaport, RI"
10,What is the Employee's first name and last name?,joshuaport,Jessica Sanchez
11,"What are the wages, tips and compensation?",190333.67,190333.67
12,What is the Employee's Address?,statement,"065 Jones Mountains Apt. 633, East Feliciafort, AR"
13,What is the Employee's first name and last name?,richard nichols,Richard Nichols
14,"What are the wages, tips and compensation?",160803.36,160803.36
15,What is the Employee's Address?,24-1315390,"86256 Scott Mountains, Monicaville, KY"
16,What is the Employee's first name and last name?,jose dodson,Jose Dodson
17,"What are the wages, tips and compensation?",244846.72,244846.72
18,What is the Employee's Address?,8893.4,"944 Morgan Springs, Caroylnfort, PA"
19,What is the Employee's first name and last name?,andrew fitzgerald,Andrew Fitzgerald
20,"What are the wages, tips and compensation?",92132.2,92132.2
21,What is the Employee's Address?,statement,"295 Bradshaw Glen, Ashleyland, SC"
22,What is the Employee's first name and last name?,stephen hill,Stephen Hill
23,"What are the wages, tips and compensation?",138864.i,138864.1
24,What is the Employee's Address?,statement,"38918 Kennesh Street, Port Daniel, NJ"
25,What is the Employee's first name and last name?,frank medina,Frank Medina
26,"What are the wages, tips and compensation?",111818.35,111818.35
27,What is the Employee's Address?,statement,"64328 Jacobs Streets Suite 697, Ballardland, MO"
28,What is the Employee's first name and last name?,briana fischer,Briana Fischer
29,"What are the wages, tips and compensation?",150442.84,150442.84
